image_id,dx,hair_density_before,hair_density_after,hair_density_drop
ISIC_0032540,nv,0.04612962962962963,0.0042148148148148145,0.041914814814814814
ISIC_0024924,nv,0.02945185185185185,0.0020592592592592594,0.02739259259259259
ISIC_0026906,nv,0.01792962962962963,0.000774074074074074,0.017155555555555556
ISIC_0033348,nv,0.06303333333333333,0.0038370370370370372,0.059196296296296295
ISIC_0031139,nv,0.028685185185185185,0.0003111111111111111,0.028374074074074072
ISIC_0026634,bkl,0.11122222222222222,0.004551851851851852,0.10667037037037037
ISIC_0028352,mel,0.0748888888888889,0.00472962962962963,0.07015925925925927
ISIC_0031594,nv,0.024055555555555556,0.0002111111111111111,0.023844444444444446
ISIC_0025441,nv,0.013877777777777777,0.0007148148148148148,0.013162962962962963
ISIC_0033867,nv,0.015659259259259258,0.0024666666666666665,0.013192592592592593
